date,hy_oas,bbb_oas,aaa_oas,ted_spread,breakeven_10y
1996-12-31,3.13,0.83,0.3,0.49,
1997-01-01,,,,,
1997-01-02,3.06,0.83,0.26,0.51,
1997-01-03,3.09,0.83,0.31,0.52,
1997-01-06,3.1,0.85,0.26,0.51,
1997-01-07,3.1,0.84,0.28,0.54,
1997-01-08,3.07,0.83,0.28,0.54,
1997-01-09,3.13,0.85,0.33,0.56,
1997-01-10,3.16,0.95,0.42,0.52,
1997-01-13,3.04,0.83,0.3,0.55,
1997-01-14,3.09,0.83,0.32,0.54,
1997-01-15,3.07,0.83,0.32,0.54,
1997-01-16,3.02,0.82,0.29,0.53,
1997-01-17,3.04,0.82,0.28,0.55,
1997-01-20,3.03,0.82,0.28,,
1997-01-21,3.05,0.83,0.32,0.53,
1997-01-22,2.99,0.82,0.27,0.52,
1997-01-23,2.97,0.82,0.29,0.52,
1997-01-24,2.94,0.82,0.31,0.53,
1997-01-27,2.9,0.82,0.31,0.5,
1997-01-28,2.92,0.82,0.3,0.52,
1997-01-29,2.94,0.82,0.3,0.52,
1997-01-30,2.97,0.82,0.29,0.52,
1997-01-31,3.04,0.82,0.32,0.54,
1997-02-03,3.08,0.82,0.33,0.58,
1997-02-04,3.08,0.82,0.33,0.59,
1997-02-05,3.05,0.82,0.33,0.56,
1997-02-06,3.03,0.82,0.32,0.54,
1997-02-07,3.06,0.82,0.33,0.53,
1997-02-10,3.04,0.81,0.32,0.5,
1997-02-11,3.03,0.81,0.33,0.49,
1997-02-12,3.01,0.82,0.33,0.49,
1997-02-13,3.04,0.81,0.32,0.5,
1997-02-14,3.05,0.81,0.29,0.53,
1997-02-17,,,,,
1997-02-18,3.01,0.81,0.29,0.5,
1997-02-19,2.98,0.81,0.31,0.49,
1997-02-20,2.89,0.81,0.32,0.5,
1997-02-21,2.89,0.81,0.32,0.51,
1997-02-24,2.85,0.8,0.32,0.49,
1997-02-25,2.83,0.8,0.32,0.48,
1997-02-26,2.71,0.8,0.32,0.42,
1997-02-27,2.71,0.79,0.32,0.46,
1997-02-28,2.73,0.79,0.32,0.45,
1997-03-03,2.71,0.77,0.31,0.45,
1997-03-04,2.67,0.77,0.3,0.44,
1997-03-05,2.71,0.76,0.3,0.49,
1997-03-06,2.7,0.77,0.3,0.47,
1997-03-07,2.74,0.77,0.31,0.48,
1997-03-10,2.74,0.76,0.3,0.5,
1997-03-11,2.72,0.76,0.31,0.52,
1997-03-12,2.69,0.77,0.31,0.49,
1997-03-13,2.62,0.77,0.32,0.44,
1997-03-14,2.66,0.77,0.32,0.5,
1997-03-17,2.66,0.77,0.32,0.47,
1997-03-18,2.67,0.77,0.32,0.51,
1997-03-19,2.67,0.76,0.32,0.47,
1997-03-20,2.68,0.76,0.32,0.44,
1997-03-21,2.69,0.76,0.32,0.46,
1997-03-24,2.71,0.76,0.32,0.49,
1997-03-25,2.69,0.76,0.33,0.46,
1997-03-26,2.71,0.76,0.33,0.55,
1997-03-27,2.67,0.75,0.32,0.54,
1997-03-28,,,,,
1997-03-31,2.84,0.76,0.32,,
1997-04-01,2.9,0.77,0.32,0.63,
1997-04-02,2.94,0.77,0.32,0.65,
1997-04-03,2.95,0.77,0.32,0.68,
1997-04-04,2.92,0.77,0.32,0.66,
1997-04-07,2.95,0.78,0.33,0.67,
1997-04-08,2.93,0.78,0.32,0.71,
1997-04-09,2.91,0.78,0.32,0.71,
1997-04-10,2.92,0.78,0.32,0.67,
1997-04-11,2.87,0.77,0.31,0.65,
1997-04-14,2.88,0.78,0.32,0.67,
1997-04-15,2.93,0.78,0.32,0.68,
1997-04-16,2.91,0.77,0.32,0.69,
1997-04-17,2.92,0.77,0.31,0.69,
1997-04-18,2.91,0.77,0.31,0.69,
1997-04-21,2.87,0.77,0.31,0.68,
1997-04-22,2.89,0.79,0.34,0.62,
1997-04-23,2.83,0.79,0.33,0.6,
1997-04-24,2.78,0.79,0.32,0.66,
1997-04-25,2.78,0.79,0.32,0.68,
1997-04-28,2.81,0.79,0.32,0.66,
1997-04-29,2.91,0.79,0.33,0.66,
1997-04-30,2.94,0.79,0.32,0.68,
1997-05-01,2.91,0.79,0.31,0.71,
1997-05-02,2.9,0.79,0.32,0.72,
1997-05-05,2.86,0.79,0.31,,
1997-05-06,2.83,0.79,0.31,0.75,
1997-05-07,2.79,0.78,0.31,0.74,
1997-05-08,2.79,0.78,0.31,0.77,
1997-05-09,2.81,0.78,0.31,0.76,
1997-05-12,2.82,0.78,0.31,0.77,
1997-05-13,2.73,0.78,0.31,0.71,
1997-05-14,2.69,0.76,0.29,0.76,
1997-05-15,2.7,0.78,0.3,0.82,
1997-05-16,2.68,0.77,0.3,0.76,
1997-05-19,2.67,0.78,0.3,0.68,
1997-05-20,2.69,0.78,0.31,0.62,
1997-05-21,2.67,0.78,0.31,0.82,
1997-05-22,2.63,0.77,0.31,0.77,
1997-05-23,2.64,0.78,0.31,0.76,
1997-05-26,,,,,
1997-05-27,2.6,0.77,0.3,0.79,
1997-05-28,2.61,0.77,0.3,0.77,
1997-05-29,2.61,0.78,0.31,0.92,
1997-05-30,2.65,0.79,0.32,0.99,
1997-05-31,2.68,0.79,0.31,,
1997-06-02,2.66,0.78,0.3,1.03,
1997-06-03,2.68,0.77,0.29,0.89,
1997-06-04,2.65,0.77,0.29,0.85,
1997-06-05,2.6,0.77,0.29,0.84,
1997-06-06,2.7,0.78,0.29,0.87,
1997-06-09,2.59,0.76,0.28,0.89,
1997-06-10,2.56,0.76,0.28,0.96,
1997-06-11,2.55,0.77,0.28,1.03,
