date,total_insider_buys,total_insider_sells,buy_sell_ratio
2004-01-02,200,2204,0.091
2004-01-05,716,7870,0.091
2004-01-06,392,4314,0.091
2004-01-07,186,2051,0.091
2004-01-08,125,1375,0.091
2004-01-09,137,1503,0.091
2004-01-12,115,1267,0.091
2004-01-13,140,1545,0.091
2004-01-14,120,1319,0.091
2004-01-15,120,1315,0.091
2004-01-16,158,1743,0.091
2004-01-20,226,2480,0.091
2004-01-21,141,1552,0.091
2004-01-22,167,1835,0.091
2004-01-23,176,1940,0.091
2004-01-26,142,1562,0.091
2004-01-27,166,1821,0.091
2004-01-28,152,1666,0.091
2004-01-29,179,1967,0.091
2004-01-30,174,1916,0.091
2004-02-02,235,2588,0.091
2004-02-03,328,3603,0.091
2004-02-04,244,2678,0.091
2004-02-05,171,1883,0.091
2004-02-06,218,2397,0.091
2004-02-09,182,1999,0.091
2004-02-10,187,2057,0.091
2004-02-11,224,2458,0.091
2004-02-12,211,2319,0.091
2004-02-13,220,2423,0.091
2004-02-17,285,3130,0.091
2004-02-18,194,2139,0.091
2004-02-19,217,2388,0.091
2004-02-20,219,2413,0.091
2004-02-23,180,1980,0.091
2004-02-24,187,2062,0.091
2004-02-25,187,2058,0.091
2004-02-26,211,2325,0.091
2004-02-27,239,2624,0.091
2004-03-01,220,2414,0.091
2004-03-02,309,3397,0.091
2004-03-03,242,2659,0.091
2004-03-04,180,1981,0.091
2004-03-05,168,1849,0.091
2004-03-08,159,1747,0.091
2004-03-09,157,1726,0.091
2004-03-10,152,1671,0.091
2004-03-11,129,1423,0.091
2004-03-12,150,1644,0.091
2004-03-15,161,1776,0.091
2004-03-16,171,1877,0.091
2004-03-17,167,1838,0.091
2004-03-18,123,1348,0.091
2004-03-19,116,1275,0.091
2004-03-22,124,1362,0.091
2004-03-23,124,1368,0.091
2004-03-24,103,1129,0.091
2004-03-25,112,1235,0.091
2004-03-26,106,1169,0.091
2004-03-29,120,1322,0.091
2004-03-30,117,1285,0.091
2004-03-31,136,1491,0.091
2004-04-01,1152,2534,0.455
2004-04-02,1695,3728,0.455
2004-04-05,1052,2315,0.454
2004-04-06,510,1121,0.455
2004-04-07,404,889,0.454
2004-04-08,414,912,0.454
2004-04-09,196,430,0.456
2004-04-12,351,773,0.454
2004-04-13,382,842,0.454
2004-04-14,421,926,0.455
2004-04-15,381,839,0.454
2004-04-16,517,1136,0.455
2004-04-19,438,963,0.455
2004-04-20,351,773,0.454
2004-04-21,506,1114,0.454
2004-04-22,474,1042,0.455
2004-04-23,616,1354,0.455
2004-04-26,550,1210,0.455
2004-04-27,499,1098,0.454
2004-04-28,725,1596,0.454
2004-04-29,733,1613,0.454
2004-04-30,672,1478,0.455
2004-05-03,894,1968,0.454
2004-05-04,1231,2709,0.454
2004-05-05,829,1823,0.455
2004-05-06,768,1689,0.455
2004-05-07,742,1632,0.455
2004-05-10,647,1423,0.455
2004-05-11,651,1432,0.455
2004-05-12,628,1381,0.455
2004-05-13,646,1421,0.455
2004-05-14,676,1488,0.454
2004-05-17,728,1602,0.454
2004-05-18,544,1197,0.454
2004-05-19,614,1350,0.455
2004-05-20,726,1598,0.454
2004-05-21,758,1669,0.454
2004-05-24,743,1636,0.454
2004-05-25,566,1245,0.455
2004-05-26,551,1212,0.455
2004-05-27,772,1698,0.455
2004-05-28,631,1389,0.454
2004-06-01,885,1948,0.454
2004-06-02,988,2172,0.455
2004-06-03,849,1867,0.455
2004-06-04,578,1272,0.454
2004-06-07,520,1145,0.454
2004-06-08,507,1116,0.454
2004-06-09,526,1157,0.455
2004-06-10,498,1095,0.455
2004-06-14,762,1675,0.455
2004-06-15,460,1012,0.455
2004-06-16,648,1426,0.454
2004-06-17,547,1204,0.454
2004-06-18,413,909,0.454
2004-06-21,448,987,0.454
2004-06-22,360,791,0.455
2004-06-23,405,891,0.455
2004-06-24,398,875,0.455
