date,nyse_advances,nyse_declines,nyse_unchanged,nyse_new_highs,nyse_new_lows,nasdaq_advances,nasdaq_declines,nasdaq_new_highs,nasdaq_new_lows,nyse_ad_line,nyse_down_vol,nyse_trin,nyse_highs_alt
2005-02-25,,,,13.0062,16.9526,,,,,29.7637,,,
2005-02-28,,,,12.82,16.7981,,,,,29.9066,,,
2005-03-01,,,,13.0372,16.9526,,,,,29.3327,,,
2005-03-02,,,,12.9849,17.0139,,,,,29.5838,,,
2005-03-03,,,,12.9926,16.9149,,,,,29.3264,,,
2005-03-04,,,,13.3505,17.2456,,,,,29.5838,,,
2005-03-07,,,,13.3166,17.6365,,,,,29.3746,,,
2005-03-08,,,,13.3651,17.1448,,,,,29.2428,,,
2005-03-09,,,,13.1421,17.3992,,,,,29.279,,,
2005-03-10,,,,13.0606,16.4939,,,,,29.1235,,,
2005-03-11,,,,12.9441,16.8905,,,,,29.0698,,,
2005-03-14,,,,13.1789,17.0139,,,,,29.0398,,,
2005-03-15,,,,12.9529,16.8461,,,,,28.2922,,,
2005-03-16,,,,12.8724,16.1397,,,,,28.1123,,,
2005-03-17,,,,12.9665,16.4768,,,,,27.7594,,,
2005-03-18,,,,12.9297,15.9476,,,,,27.8731,,,
2005-03-21,,,,13.0867,15.6018,,,,,27.5147,,,
2005-03-22,,,,12.8607,15.5716,,,,,27.5203,,,
2005-03-23,,,,12.8288,14.8049,,,,,27.5203,,,
2005-03-24,,,,12.8346,16.3695,,,,,27.6221,,,
2005-03-28,,,,12.7317,17.8493,,,,,27.6639,,,
2005-03-29,,,,12.4805,16.6521,,,,,27.4184,,,
2005-03-30,,,,12.757,17.4207,,,,,27.2455,,,
2005-03-31,,,,12.82,17.7204,,,,,27.2929,,,
2005-04-01,,,,12.4912,17.0686,,,,,27.3647,,,
2005-04-04,,,,12.6823,17.3068,,,,,28.0231,,,
2005-04-05,,,,12.7996,16.445,,,,,27.6939,,,
2005-04-06,,,,12.6939,16.8461,,,,,27.9094,,,
2005-04-07,,,,12.6571,16.9064,,,,,27.9031,,,
2005-04-08,,,,12.5911,16.1312,,,,,28.1123,,,
2005-04-11,,,,12.5087,16.1162,,,,,28.2978,,,
2005-04-12,,,,12.8724,15.7413,,,,,28.627,,,
2005-04-13,,,,12.9607,15.4106,,,,,28.6807,,,
2005-04-14,,,,12.5716,14.6891,,,,,28.3934,,,
2005-04-15,,,,12.4737,14.1305,,,,,28.3341,,,
2005-04-18,,,,12.6939,14.4367,,,,,27.5447,,,
2005-04-19,,,,12.9121,14.3227,,,,,27.2511,,,
2005-04-20,,,,12.7414,13.8085,,,,,26.9282,,,
2005-04-21,,,,12.8288,13.9995,,,,,26.4135,,,
2005-04-22,,,,12.8248,13.2159,,,,,26.1688,,,
2005-04-25,,,,12.9849,13.4627,,,,,26.7671,,,
2005-04-26,,,,12.9529,12.6884,,,,,26.288,,,
2005-04-27,,,,12.98,12.6337,,,,,26.9163,,,
2005-04-28,,,,12.9529,12.5423,,,,,27.4484,,,
2005-04-29,,,,12.9297,12.3361,,,,,27.6339,,,
2005-05-02,,,,13.0286,13.1405,,,,,26.5872,,,
2005-05-03,,,,13.2158,13.1641,,,,,26.8508,,,
2005-05-04,,,,13.3807,13.5775,,,,,26.9163,,,
